"Supply and disposition of milk products in Canada 1 2"
"Frequency: Monthly"
"Table: 32-10-0109-01 (formerly CANSIM 003-0007)"
"Release date: 2023-09-26"
"Geography: Canada"
""
""

"Geography","Canada",,,,,,,
"Years","Creamery butter",,"Other cheese (whole milk and cream)",,"Concentrated whole milk",,"Sweetened concentrated milk",
"January 1976","42,057","","12,330","","20,624","","998",""
"February 1976","41,159","","11,867","","18,006","","842",""
"March 1976","41,036","","13,094","","15,939","","1,069",""
"April 1976","41,322","","11,868","","17,193","","1,197",""
"May 1976","43,578","","12,227","","17,937","","1,013",""
"June 1976","50,738","","13,217","","19,808","","1,092",""
"July 1976","49,698","","12,672","","22,241","","757",""
"August 1976","50,067","","13,711","","23,233","","1,230",""
"September 1976","50,252","","13,730","","25,245","","1,057",""
"October 1976","46,916","","11,852","","24,477","","959",""
"November 1976","44,129","","13,289","","26,493","","1,293",""
"December 1976","36,637","","13,606","","20,883","","973",""
"January 1977","29,805","","12,343","","20,378","","1,333",""
"February 1977","25,916","","12,017","","18,552","","1,061",""
"March 1977","22,500","","12,729","","19,254","","1,127",""
"April 1977","21,125","","12,708","","18,093","","1,159",""
"May 1977","24,724","","14,189","","18,969","","1,151",""
"June 1977","30,934","","14,289","","22,713","","1,138",""
"July 1977","36,535","","13,127","","26,501","","619",""
"August 1977","40,357","","15,071","","27,993","","1,065",""
"September 1977","42,509","","15,991","","29,878","","1,312",""
"October 1977","42,231","","15,355","","28,804","","1,364",""
"November 1977","39,736","","14,581","","24,098","","1,618",""
"December 1977","37,872","","15,550","","21,886","","1,203",""
"January 1978","39,646","","15,048","","19,840","","1,437",""
"February 1978","34,111","","14,686","","15,671","","955",""
"March 1978","31,508","","14,798","","16,206","","807",""
"April 1978","31,560","","15,223","","18,722","","1,166",""
"May 1978","34,617","","14,828","","22,488","","1,401",""
"June 1978","40,419","","14,646","","22,358","","1,423",""
"July 1978","44,033","","15,194","","23,659","","890",""
"August 1978","46,821","","16,420","","23,127","","1,116",""
"September 1978","46,857","","16,103","","22,419","","1,416",""
"October 1978","46,211","","16,697","","20,785","","1,548",""
"November 1978","42,923","","16,925","","20,151","","1,733",""
"December 1978","39,614","","16,473","","22,104","","1,463",""
"January 1979","34,586","","16,441","","16,049","","1,318",""
"February 1979","31,465","","16,252","","15,578","","1,235",""
"March 1979","31,588","","16,599","","22,390","","1,277",""
"April 1979","31,028","","16,115","","21,573","","1,112",""
"May 1979","33,820","","16,272","","22,780","","1,308",""
"June 1979","38,639","","16,576","","21,090","","1,321",""
"July 1979","41,322","","16,982","","19,835","","696",""
"August 1979","42,441","","18,244","","26,122","","1,211",""
"September 1979","42,589","","18,180","","27,404","","1,372",""
"October 1979","41,470","","18,747","","30,036","","1,481",""
"November 1979","37,810","","18,567","","36,572","","1,700",""
"December 1979","34,919","","18,672","","34,617","","1,299",""
"January 1980","26,991","","18,320","","27,161","","2,034",""
"February 1980","25,878","","17,594","","17,354","","1,285",""
"March 1980","26,367","","18,239","","23,697","","1,254",""
"April 1980","26,616","","18,935","","24,012","","1,472",""
