Milk production and utilization c 1,,,
Frequency: Monthly,,,
Table: 32-10-0113-01 (formerly CANSIM 003-0011),,,
Release date: 2023-09-26,,,
"Geography: Canada, Province or territory",,,
,,,
,,,
,,,
Geography,Canada,,
,,,
,,,
Reference period,Total milk sold,Fluid purposes,Industrial purposes
Jan-76,"503,352","197,684","284,579"
Feb-76,"461,721","180,183","262,762"
Mar-76,"555,739","199,475","332,033"
Apr-76,"635,235","196,139","410,669"
May-76,"692,303","191,277","465,971"
Jun-76,"716,322","189,628","482,948"
Jul-76,"664,154","193,078","430,202"
Aug-76,"630,240","192,011","401,098"
Sep-76,"573,793","195,822","346,406"
Oct-76,"513,453","200,291","285,452"
Nov-76,"441,048","201,138","219,983"
Dec-76,"448,095","201,430","228,935"
Jan-77,"441,380","197,399","224,146"
Feb-77,"418,385","185,612","216,249"
Mar-77,"508,091","204,710","282,532"
Apr-77,"579,092","198,050","356,573"
May-77,"673,172","199,469","440,859"
Jun-77,"747,923","194,824","512,826"
Jul-77,"732,622","189,032","507,012"
Aug-77,"703,829","200,269","466,595"
Sep-77,"639,637","204,012","403,473"
Oct-77,"569,581","203,419","341,770"
Nov-77,"489,048","203,194","266,224"
Dec-77,"482,003","209,480","255,069"
Jan-78,"468,975","205,065","246,505"
Feb-78,"423,292","191,902","215,285"
Mar-78,"499,513","212,103","266,651"
Apr-78,"596,187","196,258","376,294"
May-78,"677,848","207,926","437,844"
Jun-78,"728,851","203,481","486,749"
Jul-78,"689,774","193,003","462,407"
Aug-78,"656,883","209,772","414,019"
Sep-78,"597,022","207,149","361,650"
Oct-78,"541,042","214,900","305,900"
Nov-78,"493,936","214,053","261,899"
Dec-78,"494,653","213,585","265,971"
Jan-79,"489,535","213,381","259,757"
Feb-79,"443,044","197,152","231,704"
Mar-79,"526,611","219,845","288,555"
Apr-79,"577,070","205,577","350,264"
May-79,"667,771","214,634","426,053"
Jun-79,"694,254","207,461","455,319"
Jul-79,"659,985","202,901","425,870"
Aug-79,"670,599","216,141","425,611"
Sep-79,"598,963","205,128","370,435"
Oct-79,"561,602","224,689","315,311"
Nov-79,"498,985","222,309","260,840"
Dec-79,"510,952","213,842","283,489"
Jan-80,"507,049","217,262","275,954"
Feb-80,"483,399","209,070","261,073"
Mar-80,"558,768","214,955","328,489"
Apr-80,"616,328","209,456","386,873"
May-80,"692,599","221,827","446,094"
Jun-80,"728,572","205,995","495,285"
Jul-80,"711,517","211,281","470,712"
Aug-80,"671,977","215,136","431,323"
Sep-80,"618,193","218,003","376,314"
Oct-80,"569,614","233,120","316,697"
Nov-80,"499,250","212,651","272,993"
Dec-80,"530,155","222,635","293,572"
Jan-81,"520,469","225,842","282,060"
Feb-81,"485,099","203,784","269,171"
Mar-81,"579,874","221,985","342,538"
Apr-81,"633,059","217,352","397,320"
May-81,"699,907","214,498","463,709"
Jun-81,"738,397","209,583","501,011"
Jul-81,"716,981","217,241","473,483"
Aug-81,"679,719","210,951","445,947"
Sep-81,"619,944","217,246","381,455"
Oct-81,"578,873","235,491","325,564"
Nov-81,"523,761","217,863","292,228"
Dec-81,"552,068","226,536","311,959"
Jan-82,"547,652","217,986","317,645"
